User ID,Bazaar Data
3415968,[]
3415967,[]
3415966,[]
3415965,[]
3415964,[]
3415963,[]
3415962,[]
3415961,[]
3415960,[]
3415959,[]
3415958,[]
3415957,[]
3415956,[]
3415955,[]
3415954,[]
3415953,[]
3415952,[]
3415951,[]
3415950,[]
3415949,[]
3415948,[]
3415947,[]
3415946,[]
3415945,[]
3415944,[]
3415943,[]
3415942,[]
3415941,[]
3415940,[]
3415939,[]
3415938,[]
3415937,[]
3415936,[]
3415935,[]
3415934,[]
3415933,[]
3415932,[]
3415931,[]
3415930,[]
3415929,[]
3415928,[]
3415927,[]
3415926,[]
3415925,[]
3415924,[]
3415923,[]
3415922,[]
3415921,[]
3415920,[]
3415919,[]
3415918,[]
3415917,[]
3415916,[]
3415915,[]
3415914,[]
3415913,[]
3415912,[]
3415911,[]
3415910,[]
3415909,[]
3415908,[]
3415907,[]
3415906,[]
3415905,[]
3415904,[]
3415903,[]
3415902,[]
3415901,[]
3415900,[]
3415899,[]
3415898,[]
3415897,[]
3415896,[]
3415895,[]
3415894,[]
3415893,[]
3415892,[]
3415891,[]
3415890,[]
3415889,[]
3415888,[]
3415887,[]
3415886,[]
3415885,[]
3415884,[]
3415883,[]
3415882,[]
3415881,[]
3415880,[]
3415879,[]
3415878,[]
3415877,[]
3415876,[]
3415875,[]
3415874,[]
3415873,[]
3415872,[]
3415871,[]
3415870,[]
3415869,[]
3415868,[]
3415867,[]
3415866,[]
3415865,[]
3415864,[]
3415863,[]
3415862,[]
3415861,[]
3415860,[]
3415859,[]
3415858,[]
3415857,[]
3415856,[]
3415855,[]
3415854,[]
3415853,[]
3415852,[]
3415851,[]
3415850,[]
3415849,[]
3415848,[]
3415847,[]
3415846,[]
3415845,[]
3415844,[]
3415843,[]
3415842,[]
3415841,[]
3415840,[]
3415839,[]
3415838,[]
3415837,[]
3415836,[]
3415835,[]
3415834,[]
3415833,[]
3415832,[]
3415831,[]
3415830,[]
3415829,[]
3415828,[]
3415827,[]
3415826,[]
3415825,[]
3415824,[]
3415823,[]
3415822,[]
3415821,[]
3415820,[]
3415819,[]
3415818,[]
3415817,[]
3415816,[]
3415815,[]
3415814,[]
3415813,[]
3415812,[]
3415811,[]
3415810,[]
3415809,[]
3415808,[]
3415807,[]
3415806,[]
3415805,[]
3415804,[]
3415803,[]
3415802,[]
3415801,[]
3415800,[]
3415799,[]
3415798,[]
3415797,[]
3415796,[]
3415795,[]
3415794,[]
3415793,[]
3415792,[]
3415791,[]
3415790,[]
3415789,[]
3415788,[]
3415787,[]
3415786,[]
3415785,[]
3415784,[]
3415783,[]
3415782,[]
3415781,[]
3415780,[]
3415779,[]
3415778,[]
3415777,[]
3415776,[]
3415775,[]
3415774,[]
3415773,[]
3415772,[]
3415771,[]
3415770,[]
3415769,[]
3415768,[]
3415767,[]
3415766,[]
3415765,[]
3415764,[]
3415763,[]
3415762,[]
3415761,[]
3415760,[]
3415759,[]
3415758,[]
3415757,[]
3415756,[]
